,Tの数
1112,31.0
1113,32.0
1114,24.0
1115,25.0
1116,27.0
1117,25.0
1118,23.0
1119,25.0
1120,29.0
1121,23.0
1122,29.0
1123,22.0
1124,25.0
1125,30.0
1126,25.0
1127,28.0
1128,30.0
1129,25.0
1130,28.0
1131,27.0
1132,29.0
1133,27.0
1134,29.0
1135,22.0
1136,26.0
1137,26.0
1138,28.0
1139,31.0
1140,28.0
1141,23.0
1142,28.0
1143,27.0
1144,23.0
1145,24.0
1146,22.0
1147,23.0
1148,24.0
1149,27.0
1150,31.0
1151,27.0
1152,22.0
1153,25.0
1154,25.0
1155,28.0
1156,22.0
1157,23.0
1158,31.0
1159,26.0
1160,30.0
1161,29.0
1162,31.0
1163,26.0
1164,22.0
1165,29.0
1166,25.0
1167,25.0
1168,23.0
1169,29.0
1170,25.0
1171,31.0
1172,29.0
1173,23.0
1174,30.0
1175,27.0
1176,21.0
1177,27.0
1178,25.0
1179,23.0
1180,29.0
1181,28.0
1182,26.0
1183,23.0
1184,27.0
1185,25.0
1186,27.0
1187,28.0
1188,32.0
1189,32.0
1190,23.0
1191,22.0
1192,25.0
1193,28.0
1194,30.0
1195,18.0
1196,27.0
1197,24.0
1198,28.0
1199,23.0
1200,26.0
1201,21.0
1202,27.0
1203,24.0
1204,25.0
1205,26.0
1206,25.0
1207,23.0
1208,26.0
1209,22.0
1210,31.0
1211,27.0
1212,22.0
1213,23.0
1214,32.0
1215,26.0
1216,25.0
1217,27.0
1218,29.0
1219,26.0
1220,24.0
1221,29.0
1222,30.0
1223,25.0
1224,29.0
1225,25.0
1226,23.0
1227,25.0
1228,27.0
1229,26.0
1230,24.0
1231,31.0
1232,24.0
1233,31.0
1234,27.0
1235,20.0
1236,27.0
1237,24.0
1238,26.0
1239,25.0
1240,27.0
1241,25.0
1242,33.0
1243,29.0
1244,29.0
1245,25.0
1246,25.0
1247,26.0
1248,28.0
1249,26.0
1250,23.0
1251,29.0
1252,27.0
1253,32.0
1254,21.0
1255,29.0
1256,26.0
1257,26.0
1258,28.0
1259,28.0
1260,24.0
1261,25.0
1262,28.0
1263,29.0
1264,29.0
1265,29.0
1266,29.0
1267,23.0
1268,19.0
1269,24.0
1270,24.0
1271,27.0
1272,26.0
1273,25.0
1274,29.0
1275,28.0
1276,24.0
1277,26.0
1278,26.0
1279,27.0
1280,29.0
1281,23.0
1282,29.0
1283,22.0
1284,26.0
1285,26.0
1286,27.0
1287,27.0
1288,27.0
1289,23.0
1290,25.0
1291,24.0
1292,29.0
1293,26.0
1294,31.0
1295,31.0
1296,28.0
1297,25.0
1298,25.0
1299,28.0
1300,25.0
1301,24.0
1302,27.0
1303,24.0
1304,30.0
1305,24.0
1306,28.0
1307,26.0
1308,22.0
1309,21.0
1310,22.0
1311,24.0
1312,27.0
1313,27.0
1314,25.0
1315,29.0
1316,24.0
1317,29.0
1318,22.0
1319,22.0
1320,23.0
1321,25.0
1322,28.0
1323,27.0
1324,27.0
1325,25.0
1326,25.0
1327,29.0
1328,27.0
1329,24.0
1330,20.0
1331,24.0
1332,22.0
1333,25.0
1334,23.0
1335,27.0
1336,26.0
1337,23.0
1338,25.0
1339,28.0
1340,26.0
1341,31.0
1342,28.0
1343,25.0
1344,27.0
1345,28.0
1346,29.0
1347,23.0
1348,28.0
1349,25.0
1350,28.0
1351,21.0
1352,27.0
1353,26.0
1354,29.0
1355,30.0
1356,23.0
1357,26.0
1358,29.0
1359,23.0
1360,31.0
1361,24.0
1362,27.0
1363,30.0
1364,27.0
1365,26.0
1366,26.0
1367,31.0
1368,27.0
1369,28.0
1370,29.0
1371,27.0
1372,28.0
1373,30.0
1374,29.0
1375,28.0
1376,22.0
1377,28.0
1378,29.0
1379,27.0
1380,22.0
1381,28.0
1382,27.0
1383,31.0
1384,21.0
1385,28.0
1386,26.0
1387,28.0
1388,22.0
1389,28.0
1390,29.0
1391,25.0
1392,28.0
1393,29.0
1394,21.0
1395,27.0
1396,24.0
1397,30.0
1398,28.0
1399,26.0
1400,26.0
1401,19.0
1402,25.0
1403,29.0
1404,26.0
1405,30.0
1406,26.0
1407,28.0
1408,26.0
1409,29.0
1410,25.0
1411,25.0
1412,26.0
1413,26.0
1414,24.0
1415,27.0
1416,27.0
1417,22.0
1418,23.0
1419,28.0
