,Tの数
1928,22.0
1929,28.0
1930,26.0
1931,25.0
1932,22.0
1933,23.0
1934,19.0
1935,25.0
1936,28.0
1937,30.0
1938,25.0
1939,27.0
1940,24.0
1941,21.0
1942,26.0
1943,24.0
1944,21.0
1945,24.0
1946,23.0
1947,31.0
1948,19.0
1949,24.0
1950,26.0
1951,16.0
1952,25.0
1953,28.0
1954,26.0
1955,20.0
1956,27.0
1957,22.0
1958,23.0
1959,22.0
1960,21.0
1961,20.0
1962,21.0
1963,24.0
1964,24.0
1965,23.0
1966,23.0
1967,25.0
1968,22.0
1969,22.0
1970,28.0
1971,30.0
1972,29.0
1973,19.0
1974,25.0
1975,23.0
1976,26.0
1977,24.0
1978,25.0
1979,27.0
1980,23.0
1981,24.0
1982,27.0
1983,23.0
1984,25.0
1985,26.0
1986,24.0
1987,25.0
1988,26.0
1989,21.0
1990,25.0
1991,25.0
1992,26.0
1993,22.0
1994,25.0
1995,28.0
1996,25.0
1997,25.0
1998,24.0
1999,25.0
2000,20.0
2001,21.0
2002,24.0
2003,24.0
2004,19.0
2005,24.0
2006,24.0
2007,22.0
2008,27.0
2009,29.0
2010,27.0
2011,24.0
2012,26.0
2013,20.0
2014,27.0
2015,25.0
2016,22.0
2017,24.0
2018,22.0
2019,23.0
2020,26.0
2021,19.0
2022,26.0
2023,21.0
2024,26.0
2025,26.0
2026,18.0
2027,25.0
2028,25.0
2029,19.0
2030,20.0
2031,19.0
2032,28.0
2033,22.0
2034,27.0
2035,28.0
2036,23.0
2037,24.0
2038,26.0
2039,29.0
2040,23.0
2041,26.0
2042,24.0
2043,21.0
2044,23.0
2045,28.0
2046,23.0
2047,26.0
2048,23.0
2049,28.0
2050,31.0
2051,26.0
2052,20.0
2053,25.0
2054,27.0
2055,24.0
2056,20.0
2057,28.0
2058,25.0
2059,23.0
2060,24.0
2061,20.0
2062,26.0
2063,18.0
2064,26.0
2065,21.0
2066,25.0
2067,23.0
2068,20.0
2069,18.0
2070,20.0
2071,25.0
2072,27.0
2073,25.0
2074,24.0
2075,21.0
2076,25.0
2077,23.0
2078,20.0
2079,24.0
2080,26.0
2081,28.0
2082,20.0
2083,20.0
2084,27.0
2085,26.0
2086,19.0
2087,25.0
2088,26.0
2089,20.0
2090,25.0
2091,25.0
2092,25.0
2093,22.0
2094,19.0
2095,28.0
2096,29.0
2097,23.0
2098,23.0
2099,23.0
2100,19.0
2101,28.0
2102,22.0
2103,22.0
2104,23.0
2105,24.0
2106,21.0
2107,29.0
2108,23.0
2109,28.0
2110,23.0
2111,24.0
2112,27.0
2113,29.0
2114,23.0
2115,27.0
2116,20.0
2117,27.0
2118,24.0
2119,27.0
2120,29.0
2121,29.0
2122,27.0
2123,27.0
2124,22.0
2125,27.0
2126,28.0
2127,23.0
2128,25.0
2129,23.0
2130,21.0
2131,20.0
2132,26.0
2133,27.0
2134,24.0
2135,22.0
2136,25.0
2137,26.0
2138,30.0
2139,27.0
